Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,1/29/2026 12:00:00 AM,,86812354,CM-36-BEIGE,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",,The Home Depot,48.0,Package
Awaiting Shipment,UPS® Ground,1/29/2026 12:00:00 AM,,5117432454,800092,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",,HD Supply Facilities Maintenance,48.0,Package
Awaiting Shipment,UPS® Ground,1/29/2026 12:00:00 AM,,5117433218,284156,KM10,6,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 28 x 22, Beige",,HD Supply Facilities Maintenance,499.2,Package
Awaiting Shipment,UPS® Ground,1/29/2026 12:00:00 AM,,5117433218,800092,KM02,6,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",,HD Supply Facilities Maintenance,499.2,Package
Awaiting Shipment,UPS® Ground,1/29/2026 11:56:43 AM,,400045056,CM-36-BEIGE,KM02,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Beige",web,Xtreme Mats,48.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 12:00:00 AM,,86918847,CM-36-GREY,KM15,1,"Xtreme Mats Under Sink Kitchen Cabinet Mat, 34 x 22, Grey",,The Home Depot,45.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 8:57:14 AM,,400045080,TDL-GREY,TDL01,3,"Drawer Liner Trimmable Mat - Non-Slip, Durable Protection for Drawers and Shelves - Grey",web,Xtreme Mats,144.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:35:37 AM,,400045082,CMV-33-GREY,KM25,1,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 31 x 19, Grey",web,Xtreme Mats,127.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:35:37 AM,,400045082,CMV-42-GREY,KM29,2,"Xtreme Mats Under Sink Bathroom Cabinet Mat, 40 x 19, Grey",web,Xtreme Mats,127.2,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,velcro,velcro,1,Velcro,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,EPIC-E40FX-B-GREY,GCM158BV,1,EPIC E40FX Second Row Grey Trim,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 9:56:42 AM,2/2/2026 4:00:00 PM,112-5872132-9129837,EPIC-E40FX-A-GREY,GCM158A,1,EPIC E40FX Front Row Grey Trim,amazon,Amazon Store,290.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,DM-CLUB-PRESON-BLUE,DM19,1,Dash Mats for Club Car Precedent/Onward BLUE Trim,web,Xtreme Mats,161.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,CLUB-PRESON-BLK,GCM09,1,Club Car Precedent/Onward - 1st row BLACK Trim,web,Xtreme Mats,161.6,Package
Awaiting Shipment,UPS® Ground,1/30/2026 10:30:44 AM,,400045083,,,1,XTREME10,web,Xtreme Mats,161.6,Package
